Cuisine,NumberOfReviews,Rating,RestaurantID
Indian,85,3.5,ATrDmKiZ-YrAcG3hR7LLgg
Indian,8,3.5,iPfHMcyE49cxJhoPL9KRzg
Indian,39,3.5,LQvI-JYji1jO5wySb8KZiw
Indian,519,4,NzU2hb0z0jGEOOv0-zTLEQ
Indian,163,4,aaVV388ojMgIayC3cVIEVg
Indian,1,5,K7u5sEQW1LcIJxjpUS1STg
Indian,20,3.5,vS5WZNErrgWvHtiO3CTmqA
Indian,10,5,DgFso8KK5MYTIYVmOmaYRA
Indian,52,3,zy5MD9rhrPaZkCM1d1vmrg
Indian,45,4.5,bgKGT3osx4KNjrdva4lYpQ
Indian,39,3,IPObt34MFs_Icr83NE7RFQ
Indian,158,3.5,Pv51B3SzP4OqUbJncEeF1g
Indian,276,4.5,HM7Mz6Hpxts58JJP7qELNQ
Indian,140,4,1ckkPS7KtGSu_xXXWKcbvQ
Indian,516,4,EbX_9tqAJs4gW51gZpOB7g
Indian,148,3.5,U3hvDT5CtQrnpg2zhJg3mQ
Indian,5,4.5,M8s00lOMLJW8LQsHhcwhqw
Indian,24,4.5,WdaLydR9O57rWbTnQQQ1OQ
Indian,156,4,ODpSYoZ8fkaX3UaDzBLhsg
Indian,47,4.5,HY7Hx-z5lq1vAacDwYBfoA
Indian,63,4.5,JCewNUA2d-CHcVwz8ZbqlA
Indian,104,4,6y9KWA_QwpsxXol9XWR9uA
Indian,31,3.5,SxpRklyvo-VHZwzO2IrpXQ
Indian,144,4.5,eht_0com4C1sQbl9qCzlag
Indian,184,3,TTwPVEHeSeyFMLF6cik8Lw
Indian,228,4,Rr55bXbJcfdm4lIf-1f0Qw
Indian,609,3.5,Nt7vyXyaxnyXpP4NNgrSvw
Indian,63,3.5,s9K99sWiITSfmq8VShUFVw
Indian,55,4,iAW1UTfP8jL_vpwRh93VcA
Indian,260,3.5,gc5VOvoqzM8UQJwV1mhdkA
Indian,336,3.5,oSMFe-10TyH40NIXG0Zahw
Indian,1,4,AJjQwst3ppWZ9BCfk-tQPA
Indian,225,4.5,BxB7lV381jp5pmosnIBpGA
Indian,35,3,vnf1WSV7dTmOeOkIJ46hiw
Indian,69,4,QHZxlt8nFqycBrxxizwKmA
Indian,1,5,I8rG7zAwNbBOji-R8MYwcQ
Indian,302,3.5,_Hig4rf_SEAhq13eBdJ4CQ
Indian,505,4,3C6c_zqRz_U2AyeN_7LTsg
Turkey,2928,4,xt4sa64WOrpJvZBDPNPNYg
Turkey,955,4,3idAtiEXe_XfTcPoZC_DcQ
Turkey,246,4,WUu7ZxH0y5Fp1G1hLrFxRQ
Turkey,3400,4,U5hCNNyJmb7f3dmC1HTzSQ
Turkey,1560,4,nkfUKb7oWQt54Uz9VQLhUg
Turkey,389,4,vx2JV9juVzSBRGWHOZCTAQ
Turkey,508,4,cuUmPDEY-1KXzShGdpsqag
Turkey,78,3.5,iOo9XFFvV-GJpiOdDbR_hg
Turkey,241,4.5,fcZslhOdQJgRdi04UMf0PA
Turkey,933,4,QpkKEFHK5dz8XT-osEXgJw
Turkey,424,4,#NAME?
Turkey,410,4,8AM1gGIk6KVb27Q9TYwD9Q
Turkey,61,4,CHpmu4N_kRSd-ekynJqIIA
Turkey,819,4,jNRT5vY1Hvp5WDTaHy4Mhw
Turkey,577,4,PpxJsItHTF6sDAK6XnDJ9w
Turkey,287,4,0dO6JJPmkivbK8-Qu5eUYg
Turkey,736,4,WKDdD8Z17-P1XhkyJtDEFA
Turkey,906,4,VCqNjupCWZ5INzOcyBMJSg
Turkey,5,4.5,h0lsdLsf-O93ldYjeoxLvw
Turkey,265,4,h_X1VLP4eVHmaQW6yAAbBg
Turkey,56,3.5,lc_tA1Ml4EoExoql0DQNgA
Turkey,9,3.5,KzVCK8QcbI4HIBbABqnylA
Turkey,84,4.5,7_ZtVIXNwm1sXWaoxUyXlQ
Turkey,18,4.5,eY39Q5fJJMaMiF6sS1S5Hg
Turkey,61,4,Phmh-dTT3fg_Zgw4JguxIw
Turkey,127,4.5,YRxASXAjEPv_k7BxbowouQ
Turkey,60,3.5,vf-77Jz1cWbJv_sO3wloGw
Turkey,173,4.5,dp2gh3PsxKBiqVVxKwyTHw
Turkey,271,3.5,cAEHvzQBxREhpJkFonpYaQ
Turkey,825,3.5,ZyfOt84HvbX4FsqGLOZqCw
Turkey,194,4,8R1Gsg-wzJfWTJrAba_34w
Turkey,7,4,w7zQ47EyJ6R7K_TEWZnInA
Turkey,318,4,tKog0Ewz1roBME_kX1G6hg
Turkey,121,4.5,PeyNYQR-wn7a_mye_0SCUw
Turkey,141,4,9W-iYE7L_xHk6AY5wTUjkw
Turkey,345,4,v0LGazMDlyPX5ceLYpZyTg
Turkey,298,4,N6_qSesaVVrnZ5VDGFpCrg
Turkey,95,4.5,D2SN1HiPSMrRHo9WxWVbTg
Turkey,206,4.5,EaBfDaigEFng3HRKlfH88A
Turkey,2,4,HNFt-Qvat4hQNMk-LV8apQ
Turkey,252,3.5,Gi8HGtzVrxTg02IBXpSClw
Turkey,242,3.5,tvzvtPn7ZedYflgYjz3NXA
Turkey,155,4,#NAME?
Turkey,81,4,5K-AyByoRLKW5XMxOSkNTA
Turkey,1678,4,cCesIqo-LQt0cRlZAnrAZQ
Turkey,76,4.5,9hL1Wb-OXmHriWaKJBQ6hg
Turkey,378,4,qYqe-kArMUebiEvxUPUlVg
Turkey,89,4,zmOISxxP_O96pZFkC1kuVA
Turkey,45,3.5,1gQd8Bg_W9J3hDv_gsNZ7w
Turkey,777,3.5,4rWJGwb3rjDoZHA0AECa5A
Turkey,4,2,wjKUYmZNazd4S06bDMVk5g
Turkey,97,5,kx33pm8e2G2mDhj6CQLe_Q
Turkey,249,4,Wh2K9iqjBmnlqv3T8bu6sA
Turkey,8,5,sSbclGi8ygaPrDf-2UgYqg
Turkey,11,4.5,PqtvahwtmGkGGDyvg1DRCw
Turkey,159,4,6OSf-XAdH9z-jLiXxTPZKg
Turkey,2,2.5,6V8FiEj1OSevz9a2xK6ClA
Turkey,17,4,WhpYUl9BgMkiCpHYAsU9UA
Turkey,256,3.5,08r2HipnMw0AovLfXed82Q
Turkey,355,3.5,IoYXn7KQAwWhPcz5PH5t4Q
Turkey,151,3.5,u97rGETQLmbQbY3rXHECUg
Turkey,149,4,RUL5ICRMDWEnJPbviJYVQA
Turkey,3,4.5,S1scNP7ijgAXkbD-cIxl5A
Turkey,23,4.5,Nx2fUMVJwuZkbLtqMVJRQw
Turkey,1165,4,VnjcxOUuZAeJMiDIU-7hUQ
Turkey,23,4.5,WV4wZZVIKmanuAEpHo-rZA
Turkey,88,4.5,6V67nWoMAmikODuyQNQ3fw
Turkey,18,4,eJzVEVIHql5Vyi0jNxT0Xg
Turkey,9,5,1E0ClsoTSOwZ2vA99Nyyjw
Turkey,1017,3.5,N9OihQ22xLyfeDRSZoDCVQ
Turkey,608,4,BNsKXLDL0pM_IaAR_LR7bw
Turkey,8,4,dYB5RXpSTcngv0JDUd0wmg
Turkey,70,4,moLtpz7do56gtgbfcjB8Hg
Turkey,2,4,mBXOKTfxcIrDBEoVTbkxpA
Turkey,76,4.5,wuFn0SKmVdTgweA_7O9lVA
Turkey,262,3.5,VAkdznBlCPQ7KFvm-Kma0g
Turkey,32,4,h--B7M-Sfs1Y8hhlPay0Qw
Turkey,125,4,KCISn0hhX9wH9ChgWRXnDw
Turkey,1,5,gIaMXRb1HFX5KVrAyJHioA
Turkey,146,4,q2VwOuFDRJyIUfUFy8HQzg
Turkey,137,3.5,CX-QTkLLDz-wkEQ9c-rG6g
Turkey,15,3.5,ViwJm-vnLYFcYyEmc4KX9g
Turkey,2,5,QN5PJA-b8LESiyKa2ABWkQ
Turkey,173,4,L65-2QsNv3y7-tu6xGLAUA
Turkey,34,4.5,oDOr7Ucv2lDDWxM7eVJfuA
Turkey,303,4,ZnhRUBos9FGQZrzbcPn6Vg
Turkey,118,3.5,LgKU9XZ_kLbYJo1or1dzCQ
Turkey,3,2,_ukayPVX6Wz9elQNVEwgDw
Turkey,513,3.5,_9TDcp-kRMeLyje8gMopDg
Turkey,76,4,Sfa8CVjEJRECW1AQ6yMXcQ
Turkey,80,3.5,L-xJ4MIzPRfvL3LgLEWTOA
Turkey,7,5,b9eB9hyMKDZ2yuRy0PGI9A
Turkey,8,4,T09Ow9yArAMX1upKXRHBkQ
Turkey,209,4,w3rPFqs3rE0-7BWfFP23iw
Turkey,120,3.5,4nO6ZJz6Lxu8fsyfOUx1pw
Turkey,153,3.5,4Ph-BYPqykjVj9v3jg_BwA
Turkey,854,3.5,D2qV8sDdHEFlHbVz7VSHRQ
Turkey,86,4,zHh6ioC3tSXBFhXXuXrL8A
Turkey,5,3.5,wcxE4r3hubIZuBug9V38uA
Turkey,1268,3.5,cQxtisUT6TgEGSN7gpnTDg
Turkey,4,5,v_Er-iOLKDUDw2MZ5i3-6A
Turkey,24,3,i039vyK6n5x8PkCg8QTjDQ
Turkey,5,4,cQzOoznq71QW2YVnIT4atg
Turkey,14,2.5,_kxXp3kBxNxKRbsSB9qB1g
Turkey,47,4.5,FHMMwIk0ynfEvVdhMgc0Lw
Turkey,57,4.5,VKKXe8TdToQN5vXfxj5csg
Turkey,7,4.5,qdmqhIYedl_AFR_sXyYfKA
Turkey,26,4,ULfbpzstDgCfkQGhwFzn8w
Turkey,342,4,QaEOw3iqpFd15icPaVgPow
Turkey,178,4.5,j_Zb_u7BtsMgXCwvlohBbg
Turkey,6,5,dizdVxRrqp2FMw3cnBbSWA
Turkey,20,4.5,Rm8HzD4vkFmQz0pr40UkRw
Turkey,9,4,lufGvEFnZwXfKgmugyuVQw
Turkey,101,4,aAqdmE9QFLLQsYDMibtbJA
Turkey,1,3,0scQ5kKKJgxGXEEBEkwSVQ
Turkey,2,5,3xfgQCEk84IBGLFk7R5aHQ
Turkey,40,3.5,LvcvCQUYuZttX0e7wiICVA
Turkey,48,3.5,Lxq4jli3EqgcDTb9hAfU0w
Turkey,8,4.5,iDBeo7yGh7F70MvxRIQdVA
Turkey,17,4,TEmIBOuCPVeGg3c_Ofk1bg
Turkey,119,3.5,jlpxzEtdi5lkGkwWMTC-GQ
Turkey,8,3.5,CVliR21y3FX6zQ9MLO7Rmw
Turkey,8,3,r1__mVuxc7ycj8eBYEaWhQ
Turkey,7,3.5,tCCOx1DJvQuaiSTSa9wnJQ
Turkey,40,4.5,n9D1UuyHFIyJN2PuJmvFUA
Turkey,15,4.5,ZhdF4TT0VfFZvFty--F_fg
Turkey,8,4,U0vTlPd_wWUcS5NCMkHl3g
Turkey,19,3.5,KkMErihT_VMr3O9hYN25DQ
Turkey,3,5,etjwyyRsctQujKcIXYTgCA
Turkey,4,3,o1SsE8qIzHUTuSaLQ6gS8g
Turkey,596,4,W0k5HHTa7IJsR51Nf7fOmA
Turkey,226,3,Q0B2qbc-jJWOP7GQe4XwAg
Turkey,3,5,wv5N2BSaL1ueWkZwKZLhzg
Turkey,16,3.5,qGImDJTEkvVjbO-94NUzaA
Turkey,989,4,MctQwL9Mp5X7DJk13VoERg
Turkey,154,4,35TekDVXNNnWWz4tDvg-_w
Turkey,29,3.5,GPaZ60EKpjdGMqM1cb3Olg
Turkey,88,3.5,gXrj1hbH0cz_-GddzL1gDQ
Turkey,32,3.5,XT_5b_PQvYivc1T9RPdS3A
Turkey,21,3.5,dvUdfsBqaMFcnPtwA-BVhA
Turkey,190,3.5,tew-FjBiwKblt_fI19xIlg
Turkey,17,4,aTUVmObhYiQzCTCD3aBbQw
Turkey,2,4,8v3JEKpnsVavOiwY_NYpxQ
Turkey,9,4,2HwB0HsQP6eeoI5FnJZGcA
Turkey,114,4,ktoeJcZ1_hRsY8V1iCphGg
Turkey,29,4,CgLqQ_av9FHHvAiFv3ddxg
Turkey,124,4.5,Vix6urWPStcjaS00HSeT3g
Turkey,15,2.5,uROb7GJ2YVWt0fWUwNt9Gw
Turkey,262,4.5,Z-yRKPcZQS5dhw_ph-cWBg
Turkey,7,3.5,KMt3QFk-Bd5FMxxMW2mpnQ
Turkey,38,4,aDIcCTZnvPL8F6cZTIiIxg
Turkey,315,4,ohLIPmzTysowInbte9XhMw
Turkey,227,4,U1H_LiA_-9NtaSbehPdODw
Turkey,10,3.5,VYHg8harR7JdcwPxsE6eTw
Turkey,150,4,u9zVZH0liQu9skIz1kGrMA
Turkey,187,4,X2cZaJqblzi4M0irKodWcg
Turkey,54,4,QG8pqZsrnr-wTCMLn3UeBQ
Turkey,20,4.5,ZHSSqpcuqzA5xcobuqBNZA
Turkey,2,5,4jEelcbJ1VIL13oSO7Mp3Q
Turkey,6,4.5,9Xo3owk1WNBYUZaczwXvog
Turkey,15,4,VOMSRoFftPqGbBLGDKpFkw
Turkey,4,3.5,IWZqUl46ogITQyDz3UAXPQ
Turkey,148,4.5,BqKuDTR5UfzaXA39_wH3Yg
Turkey,2,2,vB45zf5b915535lf9QCoqw
Turkey,6,3,eV35y6MHc3Sxo_au-FOO1g
Turkey,1,4,RwwLV1hIxNEvGJb7OeKRPg
Turkey,48,4.5,SGS7JtK6RXmHNmem4vQwlQ
Turkey,20,4.5,ooklUcmp13vzHiJu-ZRqTw
Turkey,1,4,7MvT9cuq3cDoXSYUcsakjw
Turkey,4,3.5,hT1NOAqwYhVtQ3rrEK53MQ
Turkey,4,5,PQAIs-ZPN7QrBvJ-F9pE8w
Turkey,130,3.5,2R1KAjhs0bpWqLTcB5QOWg
Turkey,24,4,#NAME?
Turkey,326,4,6KcS6hc2j4kJi2XTGxC1eg
Turkey,15,3.5,UzbUpYfoHwHrNCFWSuz_hw
Turkey,136,4,kFV-XAalWCEZN5VW77_3Hg
Turkey,54,4,vIqs66_x1w0HE5ijkQxjew
Turkey,1,3,CFiPz6efRDaZ2AovXJxCqg
Turkey,44,3.5,WkALLrAOqGnMPhWhR4pM8w
Turkey,7,4,bgNk_KutszYP-Cbk7u9uPQ
Turkey,9,3.5,k7zyWI6qF0gcnlV0th6Wqg
Turkey,84,4.5,OZ_ww4bXJXeH4wLKHnEbAg
Turkey,20,4,Si0c6gijT1YMai2jX0bC8g
Turkey,2917,3.5,UXVDyIzmO5kmJnlv-HDXLg
Turkey,313,3.5,WQfY18lk9FwbdeI8zNyXbQ
Turkey,4,3,qKguwDWn1e3XK-59W2SHqw
Turkey,8824,4,V7lXZKBDzScDeGB8JmnzSA
Turkey,38,4,ODFSauQouKt-G_QHjwTpmA
Turkey,162,3.5,KxFUde0zYhZXBeJKnwPzMg
Turkey,137,3.5,NI0gvoYzOK0EjjoGOlYFzA
Turkey,128,3.5,1IsRBdEoRDeQz4VUJuU0FA
Turkey,12,4.5,Z1uRdtyn0xcdo35RL6_N3w
Turkey,162,4,Dq_KwjD7WpGmgrXiu0qEOg
Turkey,168,3,ggXGOHshLOA3EEQ7aRwmDQ
Turkey,777,3.5,gVQ9J1NrmZDCe15IVP7O-Q
Turkey,6,5,01gSfHp2VNsM6IvoqCdCZw
Turkey,65,3.5,zjks9r34-5cw9FrONfpsCg
Turkey,104,4,4-P1arNgfHQ-PFmJkq7tiA
Turkey,19,4.5,DAQPAMt2LDsbFxPCSvQSew
Turkey,15,3,uU_elQDqXe3-hjICnhfQXg
Turkey,10,4,D8STvGfz5CjczxmEhbJz_Q
Turkey,8,3.5,SaXPPpupqhlaFUDVVAh0OA
Turkey,50,4,fBDnGXpDXFAgpZDB0XDSvQ
Turkey,30,3.5,N-85msuK0HE5qOp3BpPPEA
Turkey,37,4.5,or0Op4EDk95L0vhLwSATcQ
Turkey,2,5,2BL1FfLuumLlgCAf4vHHaA
Turkey,6,3,o5Rkhc6jx3uTXhQko6RO1w
Turkey,5,5,SuN3HU1TrpDBFoqFED905g
Turkey,449,4,P4HX6tjQQK4gbdn_d0cGTw
Turkey,4,4,zwJ6Xi4eyRODbErmysIEng
Turkey,6,3,Eumq0TfvlBHZFjTQWLHfBA
Turkey,26,3.5,L-FJLj5rq8q3ilQGSdx_gw
Turkey,27,3.5,A1hTCaZCnqlZGDR10YEEEA
Turkey,148,5,bf2gElKkOHClspvNWfdHQA
Turkey,20,4.5,lpoam-7-1cS_tekd_uc8HQ
Turkey,3,4.5,P7ccAWcoLw7LDwzfULazcg
Turkey,22,3.5,aFsKxUfIscCMD14St8r-HA
Turkey,122,4.5,qUOxvK1j0F293sZk5PdSBg
Turkey,192,3,bxkkhVvPliA22XuyVH3Bdw
Turkey,587,4,9iC39Z1YjZKbrrCANgzBXg
Turkey,72,3.5,zYT4oevZCBO1J2r1heb8VA
Turkey,45,4.5,I3jKi1C0nYefkw8pA3HYpg
Turkey,166,4.5,#NAME?
Turkey,16,3.5,JvVAXh4iSByS6TRn87aVVw
Turkey,7,3,xYHEQjHCgc_a8_-rxBawig
Turkey,4,3.5,mnV1__bNIGFvSDvHd7S_Kw
Turkey,873,4,55spA8dSOvKRme3ix-k7gg
Turkey,2,3.5,6WOTOYYabHMAXMl1GhDDdQ
Turkey,1781,4,ssGhu4n3emZ9kEPVf371IQ
Turkey,190,3.5,penftLPo6kx6qCtbsuyLog
Turkey,7,3,1-K3qGMOtZ_Dv5e7CJxusQ
Turkey,19,4.5,pIQ0oSsZKO-IqOIlYH_pXw
Turkey,69,4,xefmiLAsKURFc6FDGSRgfQ
Turkey,2,3.5,1rCKMrnb9keS8hX5OXE1_Q
Turkey,17,4,ayXks_0MqvVjU3eub7y-sw
Turkey,200,3.5,2Z_WBokjQwapf7kKxl4w2A
Turkey,110,4.5,RKAK9AuzKR7K36ABcXPjTA
Turkey,17,4.5,wJhm-RhgPhvlqF80s5D49Q
Turkey,109,3.5,n7m04vLBK5FCCJcFQ099TA
Turkey,54,3.5,TGv0foMp3aBjlrugbE6qGQ
Turkey,70,3.5,mHVSFTSSKoKpIWSMNJqBwQ
Turkey,44,4.5,fyepvQnhH7O1Bw9V4Xu-OA
Turkey,28,3.5,rzY-VUEp2THFhAzQttqOsw
Turkey,56,3.5,J7JYXewqxy6K49cM-hWhBw
Turkey,3,2.5,Bw34nA4J3Oumxyvi7KssAg
Japanese,1691,4,klAhw3xLQi9GF1tf_HnS7w
Japanese,1607,4,7iY35991NhQ1AShJZCNZgA
Japanese,26,4,LRyA5LakzQpv1t6pX-AcGg
Japanese,644,4,_FhKGcCbiYgtkXcCiwTAiA
Japanese,354,4.5,axqp3pGJXnTLgq2QrPyDyQ
Japanese,1158,4,YC-wGlO0oOkEIaCEDZv-ag
Japanese,1153,4,OLSSJIp8pu5UlugTF7tuHA
Japanese,674,4,wjIyCBEpCG_HRp8veiI0YQ
Japanese,205,4,i8F0fnempD5fTb2CxbwKDw
Japanese,1477,4,HZWHBfeuP4Fb6y8b8uqnbA
Japanese,215,4,KJTTqIxuB0BEsYxLaYyAZw
Japanese,155,4.5,diz6_4TVSP6EdWEZCZ0Acg
Japanese,266,4,_IkMfWpOkQXRZtJAYJUJIw
Japanese,164,4,VzstANC68PM1BbyOcDXEtw
Japanese,534,4,8NVN6Nldm7AGoGaABBZMRw
Japanese,728,4,Ms1p17KsYteDlkvHnllC2g
Japanese,147,5,MmXZLVwWcYugi_TXSHmjeQ
Japanese,69,4.5,HO8vjBAFY3GU1erXMZ_UbQ
Japanese,556,4,BPZfuPvSxCfoppU4lPFm0Q
Japanese,60,4.5,yoGoH-1kDWMrQBI95ITo4A
Japanese,94,3.5,SEPjcYB9-BUcilZAk7RR9w
Japanese,878,4,KfaG5PoTEPpbODHBta9irw
Japanese,1129,4,J9UA6rzI5WW_cDGjwDnF5g
Japanese,138,4,DNSFvZtdsqkaidmFSpm-Jw
Japanese,1041,4,6lUsFj0KCao678o9L7QwUw
Japanese,127,4,flHcoaHEWxACgc-Vk9MsOQ
Japanese,258,4,Uu1wc7CrweSIB4B7FLdbwg
Japanese,179,4.5,kN3rkbjvqkY62CDRYUVz4g
Japanese,26,4.5,Z-KV06jQbPovawp9dJD3vA
Japanese,642,4,8iSU_z2JkjjUEjm-Ur470w
Japanese,37,4.5,YoR6ouUwehLFnBQ7RAjPlw
Japanese,223,4.5,pNe8ZCkGTe4cXfKdOF7kYQ
Japanese,125,4,FCoRGys6wgE7fSQ_YAUBeg
Japanese,87,5,Je2MuObgrne2wSKhD5MZ0w
Japanese,43,4,zuD-iB7hV_dnf_JzBk_DCQ
Japanese,7,4.5,qNyUkJJjg1Tu6XmhAUU1sA
Japanese,67,4,kwq1W0opBnOYKoUXWYyQ5g
Japanese,214,4,6FZf17rNThWKoF4EU18wnw
Japanese,365,4,xFp3xSQ43J-i7nmJfNBsZA
Japanese,54,4.5,ejmJTjHzdMxoq3t7pnnjrg
Japanese,30,4.5,sNeefaiRztDQ10B4QzUi3g
Japanese,105,4,479rycCXZojMT9S0cl8Oxg
Japanese,42,4,1TEsPWu212B918MtgiSu3g
Japanese,26,4.5,PwrYnl3j3YCGzILX_5UHpw
Japanese,819,4,ev6e12vhY_0y4qE1cRhv0A
Japanese,1073,4,#NAME?
Japanese,1169,4,oTkzgr7hzOAdlP99Auj3GQ
Japanese,210,4,ULDVJYTT-47RqbLtlR_FUA
Japanese,167,4,kesYSgOJW5krU6L8n9qQ4Q
Japanese,183,3.5,Qli775QfVY4oFPNu7Cy5Tw
Japanese,109,4,8tcFpd0dcmfzbLgbTO4tdw
Japanese,873,4,6qzNc9Z9DHYYleKqrW_K3g
Japanese,370,4,PTYUAAJbEmvIv4EsyRrcnA
Japanese,1485,3.5,Ad3dUoLatOdNtB4LxfmmWg
Japanese,663,4,oyyubJoK0VZ2V3a5sVJULg
Japanese,246,4,aK2ipD9K8-usBw_gkvvJuw
Japanese,277,4,l_RAv09V67j-Hm9dyZxWhw
Japanese,539,4,nrxSzq-VxLqD7aFkE4SH3Q
Japanese,1276,4,i8ejDDR4COtukAAA1Ls5fw
Japanese,1145,4,P_UREWCQxEYVbBa-KW_Wew
Japanese,138,4,et9pAFtSvNOct9Qcmtcf7g
Japanese,92,4.5,vX0_qcuVXoeeH1_24I8lSA
Japanese,238,4,_2V0as8DZDwVxAi3ZJ0JkA
Japanese,282,4.5,OFfZUS-nu6NDnsWe1B2bUQ
Japanese,56,5,ynR4-QgEOsE7VhNfIWo73w
Japanese,125,4,icZcEK39HXuL2q08i4EkkQ
Japanese,481,4,NRJq2BNcbjqAyxUB_bw7gw
Japanese,103,4.5,n1xpGOPa7XRq4or7QLjzHw
Japanese,23,4.5,R9jTfyPlnfk23gy8VCCVAg
Japanese,112,4.5,6t5xWjPLWAjJV3YFMX_oaw
Japanese,3076,4,TN4RnyqHMSupRFot4Q-_EA
Japanese,65,3.5,NmWRyxPPk9Up5jZIWQT7jQ
Japanese,113,4,ww-GIpxS6L6nUKJWtmI0kA
Japanese,687,4,Brs_MJhAXe60iMnlpeqkKA
Japanese,55,4,ZlNDeVv6UJ1cGzcSoypVOA
Japanese,576,4,9bAyxRD6RsGEUQw424ovQA
Japanese,9,4.5,8nVsfKu_NGdTgZruGNW9-A
Japanese,192,4,pTMnHb_W3sKqS8oCzjHdVA
Japanese,401,4,8lYK0L12S3EPeJ0ZW2x9xA
Japanese,131,4,aTzxrI2o3vH_HQkqeFszzg
Japanese,184,4.5,WHXgDm3kcU-aONfjR8tX0A
Japanese,400,4,zuiEL6WWZ0OXGS5whWfqGA
Japanese,440,4,vAxm4dekBCfaRNoBYbx6OQ
Japanese,308,4,T1bgtJcjtc-6xykWqBRfUw
Japanese,238,4,ZOpnIsm7ihoO1gq2YmGdzw
Japanese,224,4,K54qUgd274Fj_LvHCjeSFw
Japanese,234,4,Clumryf360iOnwpZ2ML8aw
Japanese,563,4,kr_Wu5m0P-AEghraNqXeTA
Japanese,2745,4,t1w4qyqyfEdTPhoy-5t3FA
Japanese,376,4,Fb8vIbK7jc_6cTDJ4tOKTA
Japanese,136,3.5,Nbqzy3ea5_x2zXWkdWlUIQ
Japanese,391,4,7rxg-tWPc1jK7Cikn5R86g
Japanese,67,4,IjRxYyr41Yl1fGhIrss1vg
Japanese,485,4,wQU3LMmOPNzxL-ptOi_F5w
Japanese,274,4,zm-PPnv9eAkWYFGpVg9kMg
Japanese,81,4,e8EW89rpbE1G2Ev41yypTg
Japanese,16,4.5,9g0H0NPxJpt1FVi_MFS0Tg
Japanese,621,4,EvAJBgBdgOt1jx1EufRN7w
Japanese,32,4,bUtl50tG5P4S2fYh_BtZ6w
Japanese,370,4.5,nEkVibaTuIFEcTNtltFgJg
Japanese,50,4,6AD684cLq5kSKSf3naUhcg
Japanese,1500,4,5QgBCrAbXbM1ORiqZDrBPQ
Japanese,12,4.5,qVlDLz8Ri-ThAFJgYHuQ9A
Japanese,40,4,aQHyp7y5Ux1sI8hC6qEwEA
Japanese,196,4,mlJpfJMCS_bFnR5cWX6DTg
Japanese,58,4,Xb-NlVV5gYKX2Amd_WeWoQ
Japanese,162,3.5,25KSIumOXSnysnUIGAhNYw
Japanese,33,4,FdCQmAHzhbHuaP5lcsYs6w
Japanese,211,3.5,IU7J-biFGBwrl6qKBPGStQ
Japanese,991,4,ONQRhDuWv0e9R5xOiI7YAA
Japanese,184,4.5,a7rM-AOM7_xi8AlWX-Thkg
Japanese,887,4,JhJLPp6KuBcD3CHCkEKJ_A
Japanese,1924,4,7EaiwMVaNdQibSs0yYkE5Q
Japanese,4,4.5,r-By0Hcu8imVawDfIMwRdg
Japanese,965,4,QR1YIRzFjd2bi5iBzT9zXg
Japanese,152,4,FLKABU82NNDnCvZSZD75Bg
Japanese,134,4,kQa2W0D84lwO31QgUPoOLA
Japanese,428,4,vec8jeVbbSGzVlStl0Xp_Q
Japanese,7,4.5,IPhWpqIuAiEerKlLS82RpQ
Japanese,167,4,8nmMip_O4vcPDcujTEa_TA
Japanese,155,4,ymb0SvFrlcWm6k_Gx5SYcQ
Japanese,65,4,bnaeQCoBiQ7a5IfyBkrGCg
Japanese,90,4.5,5eXrMPB5GUM-sapL8T-znQ
Japanese,718,4,GlPJPpKvPR4d8dmcSEYpdA
Japanese,89,4,lbqm7geYKkE9zf1Lk-ivSw
Japanese,490,4,itblJyiTY2h2ACidLk66oA
Japanese,220,4,_pJXD4g4Fr0uWZvSKuG_cQ
Japanese,471,3.5,auqBQYuADVdWaTO-RNBeoA
Japanese,8,5,ocnHpILS80DHL--34L8xpw
Japanese,16,4,ci457I10hOtr9PpEQ5wpZw
Japanese,121,4,5UqEDoMZCrvhSKgCWg5GGw
Japanese,158,4.5,o5EIqc4LekAoeLHiYjzLqQ
Japanese,47,4,frrsYSWppFwL10u01SOAVA
Japanese,1028,4,bJgl6cDIBIMlgrntQbxt1g
Japanese,134,3.5,Qi1AoRNcFEX8etII_RZkFg
Japanese,517,4,wcwftlB-61XG4ymGTR61aw
Japanese,176,4,4Jp0wdJXLpmgCwWv6o6YEQ
Japanese,157,3.5,lbpsRAg22TFMuBaDt2nZEQ
Japanese,246,4,MwtXOkRUndPU-ivbtLD-bQ
Japanese,459,3.5,hvrQQ0YWqgw0__OnofqXag
Japanese,988,4,SxKvgnkMMZdhBJcxxKQnww
Japanese,329,4,1rjxNwYpg0orCcZi0ku9Nw
Japanese,5,4,kzmKTYkGLE5I-sAuY8mDGQ
Japanese,42,4.5,4qtJ_u-7-73ts5UPa6NBmA
Japanese,102,4,IPHolyNKu-W1DPJKxWvKQw
Japanese,54,4,1HBtCnBGBYoq3zaQUxTbmg
Japanese,484,4,HFn1sPqKSzvxaMk2n2ZtJw
Japanese,95,4,AnrLdpW6G-tXQ7xhBYiA5g
Japanese,77,4,baQdCPehE8AtwQaDFTdWCA
Japanese,87,4,YVqpoDk4fC3noi3_lcBP3A
Japanese,79,4,QmelPAXgkVLZfUb27diAEw
Japanese,135,4,Uoic12Je-GLfRp3D3Klp5g
Japanese,94,4,15R8rx9SHKNVYBwgAuTyGA
