RestaurantID,Cuisine,NumberOfReviews,Rating
BbODF2tZuw4xW_RFwMzwRg,Chinese,12,3.5
L6fT2SWSRlwBEc3jWqV2Ig,Chinese,10,3.5
ru9KtvY8f_b2SKrKwtS3CA,Chinese,79,4
Lp8vAE5nHSt5zbu-lSGK8A,Chinese,235,4
NZb6ILmE0p4gQ5harzrAvA,Chinese,329,3
OX2B4KARPKNTxC39wpcqDA,Chinese,27,3.5
mxjv5RgkTr5qw3wjr2fXmA,Chinese,134,4
h4co9O0SLuvhTtr_Cs9IIQ,Chinese,22,3.5
wxUTM-FkpCvnoTGJfSXkWg,Chinese,29,3
MYPes7EWP5aLiVG1Z_9eFQ,Chinese,108,3
6kCo3xb87Sc3Aa5ZSWzNnw,Chinese,188,3
e-6UcplEErq2Hj14-eiM6Q,Chinese,21,3.5
KBZQN540Xz6LbXLRVOMc0w,Chinese,157,3.5
RkcQl4uEJWblWf4xX8ssqQ,Chinese,366,3.5
AvTezlpt3GXTdSEnXbHP4w,Chinese,314,4
zWDiH7KpUhRhv1cPNExMDg,Chinese,4,4.5
rBUTVjRs5CcEMe3dfVRZJQ,Chinese,64,4.5
_Ge2eC89Z-jlaDDWglfT8g,Chinese,90,4.5
PQ2ZlhuTlJpvMUgvsAwtmQ,Chinese,252,3.5
PRd1P_8glLwB5cNO-hFEcw,Chinese,10,4
Nt3Y26a6OMtdBe8xMMJjqQ,Chinese,252,3.5
2lJwfmyRKO8zFz5Xuiw11w,Chinese,275,3
7hh2eP4HVkyjtpcqeITk3Q,Chinese,113,3
zyG1GIU3KnIZ3bOVGgJXlA,Chinese,90,3.5
_RhAY03oEBw9HNwUAJyBCw,Chinese,385,2.5
ePVlFbTzdVQFWie__kdplg,Chinese,341,3.5
NjBgTtcJgdXKLvqYt3C8CQ,Chinese,72,4
y8xZmhrp6zKnxJNtqFa_8g,Chinese,28,4
w0pDi_iMZd5MqYQ7t5q1dQ,Chinese,43,3.5
dTZ-q8CwEDo9iVKM0tydnQ,Chinese,176,3
AjZ9hwJRu77jgWIrnhsGcg,Chinese,11,3
B7bxdtvLYR7Nmex4AIFd4w,Chinese,503,3.5
v2dtG37r1ThqtfEfiFsAUg,Chinese,426,3
RffIwNrMmEf5auDVP1eURA,Chinese,74,3.5
EgBPFtixZK9VhRtFsobDxg,Chinese,5,4
fUhBM10aNrkVGvHJ2Hbhqw,Chinese,188,3
g_5V15Xp1OvB1QXuGMstYA,Chinese,480,3
GJZnf3B-ADjlCV1NXsHvGQ,Chinese,88,3
lv0qUfiaHPXKO8lfYu6R4g,Chinese,28,4
ItZ8CzZAGXGjB8_9HxDIXg,Chinese,88,3
VQ5YGa4L4AT3ugF61hM9qQ,Chinese,13,4.5
ynIx549QFj29o84y1RSGyw,Chinese,349,4
2VQDEQuK3xLFNktPBIpmuQ,Chinese,23,4
vPbJRg5umcRMELTDsJik_A,Chinese,30,3.5
OvdCm3j_5HzItolfvwrEUA,Chinese,336,3.5
mOP2_wjgUMqELKDL1Y-U-A,Chinese,400,3.5
rL5F8YnQq9SY0hyece4W2w,Chinese,138,3.5
c1HgKFOT4Cc7TqWQD5mQBQ,Chinese,43,4.5
UtrW_dBuT5aqxSzx0FUICQ,Chinese,239,3.5
3OT1deSiIYhrcXWJ1sD3wA,Chinese,30,4.5
dP6SmZ5E5Nj64-3zZMjGSg,Chinese,38,3
vZgJyMZlpSSS_Y-duxd4_A,Chinese,216,4
gxEYxWqKVhs8xBw9Lvd7hA,Chinese,44,3.5
bgnM6uy66zupYzb4QdL3vA,Chinese,84,3.5
eMmcNV51xPKNGMCqBccPvw,Chinese,167,4
OfqANzeWRlZrdHQuG7pI0w,Chinese,143,3
9v-JAffC6qw8Xp67BICByQ,Chinese,389,3.5
3NYQQckItp9l7GDzALw79w,Chinese,47,3.5
