RestaurantID,Cuisine,Name,NumberOfReviews,Rating,Location,Coordinates
SVJNB9LqI13jtVyKMZVqeg,Chinese,Uncle Ted's Modern Chinese Cuisine,376,3.5,"{'address1': '163 Bleecker St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['163 Bleecker St', 'New York, NY 10012']}","{'latitude': 40.72882, 'longitude': -73.999961}"
Kqb7MjTPNkjPMoFRd-rWpw,Chinese,MáLà Project,383,4,"{'address1': '122 1st Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10009', 'country': 'US', 'state': 'NY', 'display_address': ['122 1st Ave', 'New York, NY 10009']}","{'latitude': 40.72713, 'longitude': -73.98542}"
Aux2Mp7bGnF3S6h60ab3iQ,Chinese,Yummy City,26,4,"{'address1': '1557 Lexington Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10029', 'country': 'US', 'state': 'NY', 'display_address': ['1557 Lexington Ave', 'New York, NY 10029']}","{'latitude': 40.7879244458184, 'longitude': -73.948986355818}"
sfsjk1h50ooC2ioY7m48gw,Chinese,Pig Heaven,204,4,"{'address1': '1420 3rd Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10028', 'country': 'US', 'state': 'NY', 'display_address': ['1420 3rd Ave', 'New York, NY 10028']}","{'latitude': 40.77544, 'longitude': -73.95686}"
0k678lCWQyReNi0lARlOmw,Chinese,China Blue,470,4,"{'address1': '135 Watts St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['135 Watts St', 'New York, NY 10013']}","{'latitude': 40.724081417449, 'longitude': -74.0098607540131}"
qGgQMVExGERqGhZNDM2ROg,Chinese,Wu Liang Ye,448,3.5,"{'address1': '36 W 48th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['36 W 48th St', 'New York, NY 10036']}","{'latitude': 40.75781, 'longitude': -73.97994}"
Bwj7nzWphGV6FaZ_ygTSOg,Chinese,Happy Hot Hunan,112,3.5,"{'address1': '969 Amsterdam Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10025', 'country': 'US', 'state': 'NY', 'display_address': ['969 Amsterdam Ave', 'New York, NY 10025']}","{'latitude': 40.80133, 'longitude': -73.96466}"
A-ert0jDRBfku9ogyW_mEg,Chinese,Spice Symphony,170,4.5,"{'address1': '150 E 50th St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10022', 'country': 'US', 'state': 'NY', 'display_address': ['150 E 50th St', 'New York, NY 10022']}","{'latitude': 40.7558937072754, 'longitude': -73.9715347290039}"
neQM053ovAOrf1sVSAPI9w,Chinese,Radiance Tea House and Books,768,4,"{'address1': '158 W 55th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['158 W 55th St', 'New York, NY 10019']}","{'latitude': 40.7639799, 'longitude': -73.98065}"
douRKPVxuo8BEOkMxgVl_w,Chinese,Lotus Blue,50,4,"{'address1': '15 Union Square W', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['15 Union Square W', 'New York, NY 10003']}","{'latitude': 40.736070750946, 'longitude': -73.9917466058785}"
